name,league
Metz,French Ligue 2
Boavista,Portuguese Liga
Frosinone,Italy Serie B
Heerenveen,Dutch Eredivisie
Cruzeiro,Brasileiro Série A
Talleres de Córdoba,Argentina Primera Division
Argentinos Juniors,Argentina Primera Division
FK Qarabag,UEFA Europa League
Maccabi Haifa,UEFA Champions League
Malmo FF,Swedish Allsvenskan
Hapoel Be'er,UEFA Europa Conference League
BK Hacken,Swedish Allsvenskan
Spezia,Italy Serie A
NEC,Dutch Eredivisie
Toluca,Mexican Primera Division Torneo Clausura
Salernitana,Italy Serie A
West Bromwich Albion,English League Championship
Gil Vicente,Portuguese Liga
Rapid Vienna,Austrian T-Mobile Bundesliga
Chaves,Portuguese Liga
Auxerre,French Ligue 1
Cagliari,Italy Serie B
FC Cincinnati,Major League Soccer
Vizela,Portuguese Liga
Santos Laguna,Mexican Primera Division Torneo Clausura
Stoke City,English League Championship
AGF Aarhus,Danish SAS-Ligaen
Cremonese,Italy Serie A
FC Arouca,Portuguese Liga
Gazovik Orenburg,Russian Premier Liga
Boca Juniors,Argentina Primera Division
Atlanta United FC,Major League Soccer
Panathinaikos,Greek Super League
Millwall,English League Championship
Genoa,Italy Serie B
Aris Salonika,Greek Super League
Grêmio,Brasileiro Série A
Angers,French Ligue 1
Estudiantes,Argentina Primera Division
Dinamo Moscow,Russian Premier Liga
Nashville SC,Major League Soccer
St Gallen,Swiss Raiffeisen Super League
Casa Pia,Portuguese Liga
St Etienne,French Ligue 2
Rio Ave,Portuguese Liga
Urawa Red Diamonds,Japanese J League
Sunderland,English League Championship
Bahía,Brasileiro Série A
Norwich City,English League Championship
Brondby,Danish SAS-Ligaen
Watford,English League Championship
IF Elfsborg,Swedish Allsvenskan
Bordeaux,French Ligue 2
América Mineiro,Brasileiro Série A
KVC Westerlo,Belgian Jupiler League
Kawasaki Frontale,Japanese J League
AEK Larnaca,UEFA Europa League
Apollon Limassol,UEFA Europa Conference League
Columbus Crew,Major League Soccer
Seattle Sounders FC,Major League Soccer
FC Lugano,Swiss Raiffeisen Super League
New York City FC,Major League Soccer
OH Leuven,Belgian Jupiler League
New York Red Bulls,Major League Soccer
San Lorenzo,Argentina Primera Division
Blackburn,English League Championship
Santa Clara,Portuguese Liga
FC St. Pauli,German 2. Bundesliga
Rostov,Russian Premier Liga
Maritimo,Portuguese Liga
Hibernian,Scottish Premiership
Bristol City,English League Championship
Hearts,Scottish Premiership
Rosenborg,Norwegian Tippeligaen
FC Nordsjaelland,Danish SAS-Ligaen
Lanus,Argentina Primera Division
CFR 1907 Cluj,UEFA Europa Conference League
Orlando City SC,Major League Soccer
Wolfsberger AC,Austrian T-Mobile Bundesliga
Levante,Spanish Segunda Division
Viborg,Danish SAS-Ligaen
DC United,Major League Soccer
Kashima Antlers,Japanese J League
Tenerife,Spanish Segunda Division
FC Dallas,Major League Soccer
New England Revolution,Major League Soccer
Cuiaba,Brasileiro Série A
Basel,Swiss Raiffeisen Super League
Vancouver Whitecaps,Major League Soccer
Ludogorets,UEFA Europa League
Nagoya Grampus Eight,Japanese J League
Hamburg SV,German 2. Bundesliga
Parma,Italy Serie B
Puebla,Mexican Primera Division Torneo Clausura
Sampdoria,Italy Serie A
Standard Liege,Belgian Jupiler League
Motherwell,Scottish Premiership
Silkeborg,Danish SAS-Ligaen
FC Andorra,Spanish Segunda Division
Sporting de Charleroi,Belgian Jupiler League
FC Zurich,Swiss Raiffeisen Super League
St. Truidense,Belgian Jupiler League
Velez Sarsfield,Argentina Primera Division
Pumas Unam,Mexican Primera Division Torneo Clausura
SC Paderborn,German 2. Bundesliga
Portimonense,Portuguese Liga
Defensa y Justicia,Argentina Primera Division
Bastia,French Ligue 2
Estoril Praia,Portuguese Liga
Portland Timbers,Major League Soccer
Granada,Spanish Segunda Division
Bari,Italy Serie B
Mamelodi Sundowns,South African ABSA Premier League
Sanfrecce Hiroshima,Japanese J League
Servette,Swiss Raiffeisen Super League
Atlético San Luis,Mexican Primera Division Torneo Clausura
Los Angeles Galaxy,Major League Soccer
FC Volendam,Dutch Eredivisie
RKC,Dutch Eredivisie
Caen,French Ligue 2
Odense BK,Danish SAS-Ligaen
Goiás,Brasileiro Série A
Sivasspor,Turkish Turkcell Super Lig
Kasimpasa,Turkish Turkcell Super Lig
Coritiba,Brasileiro Série A
Guingamp,French Ligue 2
Tigre,Argentina Primera Division
Minnesota United FC,Major League Soccer
F.B.C Unione Venezia,Italy Serie B
Necaxa,Mexican Primera Division Torneo Clausura
Rosario Central,Argentina Primera Division
Hull City,English League Championship
Fortuna Düsseldorf,German 2. Bundesliga
Lillestrom,Norwegian Tippeligaen
Kayserispor,Turkish Turkcell Super Lig
Aberdeen,Scottish Premiership
Paris FC,French Ligue 2
Preston North End,English League Championship
SK Brann,Norwegian Tippeligaen
Real Zaragoza,Spanish Segunda Division
Omonia Nicosia,UEFA Europa League
Sporting Kansas City,Major League Soccer
Albacete,Spanish Segunda Division
Antalyaspor,Turkish Turkcell Super Lig
FC Luzern,Swiss Raiffeisen Super League
Racing Club,Argentina Primera Division
Cerezo Osaka,Japanese J League
Fortuna Sittard,Dutch Eredivisie
Alavés,Spanish Segunda Division
Newell's Old Boys,Argentina Primera Division
Karlsruher SC,German 2. Bundesliga
Tijuana,Mexican Primera Division Torneo Clausura
Le Havre,French Ligue 2
San Jose Earthquakes,Major League Soccer
AC Ajaccio,French Ligue 1
Slovan Bratislava,UEFA Europa Conference League
Ural Sverdlovsk Oblast,Russian Premier Liga
